Calendar Year,Fishery,LATITUDE (5° cell),LONGITUDE (5° cell),Species Category,Species (or group),Number of vessels with observer data ,Observed Captures (number),Observed Capture Rate (per 1000 hooks),Observed Mortalities (number),Observed Mortality rate (per 1000 hooks),Observed Live Releases
2013,L,-32.5,172.5,BRD,ALBATROSSES NEI,5,1,0.016393980,1,0.016393980,0
2013,L,-27.5,-167.5,BRD,ALBATROSSES NEI,3,1,0.012211503,1,0.012211503,0
2013,L,-7.5,-172.5,BRD,ALBATROSSES NEI,6,1,0.007624159,1,0.007624159,0
2013,L,-7.5,157.5,BRD,ALBATROSSES NEI,12,1,0.004224472,1,0.004224472,0
2013,L,-7.5,162.5,BRD,ALBATROSSES NEI,12,3,0.007438299,3,0.007438299,0
2013,L,-2.5,-152.5,BRD,ALBATROSSES NEI,7,1,0.005947885,1,0.005947885,0
2014,L,-42.5,167.5,BRD,ALBATROSSES NEI,6,6,0.015155036,6,0.015155036,0
2014,L,-22.5,177.5,BRD,ALBATROSSES NEI,18,2,0.003869415,2,0.003869415,0
2014,L,-7.5,-162.5,BRD,ALBATROSSES NEI,11,1,0.003664265,1,0.003664265,0
2014,L,27.5,-167.5,BRD,ALBATROSSES NEI,15,11,0.129535204,9,0.105983349,2
2014,L,27.5,-157.5,BRD,ALBATROSSES NEI,45,2,0.002294999,1,0.001147500,1
2014,L,32.5,-162.5,BRD,ALBATROSSES NEI,17,1,0.003563970,1,0.003563970,0
2014,L,32.5,-157.5,BRD,ALBATROSSES NEI,23,1,0.003414519,1,0.003414519,0
2015,L,-42.5,152.5,BRD,ALBATROSSES NEI,7,38,0.062086532,32,0.052283396,4
2015,L,-42.5,157.5,BRD,ALBATROSSES NEI,6,6,0.065588107,6,0.065588107,0
2015,L,-37.5,162.5,BRD,ALBATROSSES NEI,6,1,0.015395274,0,0.000000000,0
2015,L,37.5,147.5,BRD,ALBATROSSES NEI,5,1,0.012256254,1,0.012256254,0
2015,L,37.5,152.5,BRD,ALBATROSSES NEI,13,6,0.056135624,6,0.056135624,0
2015,L,37.5,157.5,BRD,ALBATROSSES NEI,13,2,0.008883125,2,0.008883125,0
2015,L,37.5,162.5,BRD,ALBATROSSES NEI,13,13,0.065506364,13,0.065506364,0
2015,L,42.5,152.5,BRD,ALBATROSSES NEI,3,26,0.265745416,25,0.255524438,1
2016,L,-42.5,152.5,BRD,ALBATROSSES NEI,6,369,0.637713219,364,0.629072119,5
2016,L,-42.5,157.5,BRD,ALBATROSSES NEI,6,51,0.264399399,51,0.264399399,0
2016,L,-37.5,157.5,BRD,ALBATROSSES NEI,4,55,0.539363747,55,0.539363747,0
2016,L,-32.5,172.5,BRD,ALBATROSSES NEI,3,11,0.241069472,11,0.241069472,0
2016,L,-12.5,177.5,BRD,ALBATROSSES NEI,29,1,0.000936246,0,0.000000000,1
2016,L,32.5,152.5,BRD,ALBATROSSES NEI,6,3,0.040079089,3,0.040079089,0
2016,L,37.5,147.5,BRD,ALBATROSSES NEI,9,5,0.071258569,5,0.071258569,0
2016,L,37.5,152.5,BRD,ALBATROSSES NEI,9,6,0.027149813,6,0.027149813,0
2016,L,37.5,162.5,BRD,ALBATROSSES NEI,7,4,0.032342573,4,0.032342573,0
2016,L,37.5,167.5,BRD,ALBATROSSES NEI,6,7,0.038581310,7,0.038581310,0
2016,L,37.5,172.5,BRD,ALBATROSSES NEI,3,10,0.132982260,5,0.066491130,5
2017,L,-42.5,152.5,BRD,ALBATROSSES NEI,3,1,0.003586942,1,0.003586942,0
2017,L,-17.5,177.5,BRD,ALBATROSSES NEI,37,2,0.001160400,0,0.000000000,2
2017,L,27.5,147.5,BRD,ALBATROSSES NEI,10,15,0.138005907,15,0.138005907,0
2017,L,27.5,152.5,BRD,ALBATROSSES NEI,10,1,0.005825876,1,0.005825876,0
2017,L,27.5,157.5,BRD,ALBATROSSES NEI,6,2,0.031480199,2,0.031480199,0
2017,L,32.5,147.5,BRD,ALBATROSSES NEI,11,14,0.190831891,14,0.190831891,0
2017,L,32.5,152.5,BRD,ALBATROSSES NEI,9,38,0.411709896,38,0.411709896,0
2017,L,32.5,157.5,BRD,ALBATROSSES NEI,8,47,0.533508899,47,0.533508899,0
2017,L,37.5,147.5,BRD,ALBATROSSES NEI,7,1,0.010820169,1,0.010820169,0
2017,L,37.5,152.5,BRD,ALBATROSSES NEI,8,2,0.013093890,2,0.013093890,0
2017,L,37.5,157.5,BRD,ALBATROSSES NEI,5,3,0.037019670,3,0.037019670,0
2018,L,-37.5,-162.5,BRD,ALBATROSSES NEI,3,1,0.013060457,1,0.013060457,0
2018,L,32.5,152.5,BRD,ALBATROSSES NEI,9,1,0.011962295,1,0.011962295,0
2018,L,37.5,167.5,BRD,ALBATROSSES NEI,6,1,0.017055824,1,0.017055824,0
2018,L,42.5,167.5,BRD,ALBATROSSES NEI,3,3,0.042659083,3,0.042659083,0
2019,L,-42.5,152.5,BRD,ALBATROSSES NEI,6,2,0.003447260,2,0.003447260,0
2019,L,-37.5,-172.5,BRD,ALBATROSSES NEI,3,9,0.173030338,8,0.153804745,1
2019,L,-37.5,-167.5,BRD,ALBATROSSES NEI,3,1,0.047762335,1,0.047762335,0
2019,L,-32.5,-172.5,BRD,ALBATROSSES NEI,4,8,0.130401474,8,0.130401474,0
2019,L,-32.5,-167.5,BRD,ALBATROSSES NEI,3,2,0.087535014,2,0.087535014,0
2019,L,-27.5,-172.5,BRD,ALBATROSSES NEI,8,1,0.002587838,1,0.002587838,0
2019,L,-27.5,-162.5,BRD,ALBATROSSES NEI,3,2,0.071921749,2,0.071921749,0
2019,L,-27.5,172.5,BRD,ALBATROSSES NEI,11,1,0.002923002,1,0.002923002,0
2019,L,-27.5,177.5,BRD,ALBATROSSES NEI,11,1,0.003193032,1,0.003193032,0
2019,L,32.5,147.5,BRD,ALBATROSSES NEI,13,8,0.039038292,7,0.034158505,1
2019,L,32.5,157.5,BRD,ALBATROSSES NEI,9,1,0.020819887,1,0.020819887,0
2019,L,32.5,162.5,BRD,ALBATROSSES NEI,7,23,0.178495208,23,0.178495208,0
2019,L,37.5,147.5,BRD,ALBATROSSES NEI,9,1,0.021822149,1,0.021822149,0
2019,L,37.5,152.5,BRD,ALBATROSSES NEI,23,8,0.014541885,7,0.012724150,1
2019,L,37.5,157.5,BRD,ALBATROSSES NEI,17,3,0.007501782,2,0.005001188,1
2019,L,42.5,152.5,BRD,ALBATROSSES NEI,3,7,0.092552193,5,0.066108709,2
2013,L,-7.5,-167.5,BRD,ANTARCTIC GIANT PETREL,9,1,0.004035545,1,0.004035545,0
2019,L,-42.5,157.5,BRD,ANTARCTIC GIANT PETREL,6,1,0.004015693,1,0.004015693,0
2019,L,-27.5,-172.5,BRD,ANTIPODEAN ALBATROSS,8,2,0.005175675,2,0.005175675,0
2013,L,-22.5,162.5,BRD,BIRD (UNIDENTIFIED),4,1,0.051840332,1,0.051840332,0
2013,L,-12.5,-157.5,BRD,BIRD (UNIDENTIFIED),3,1,0.016351091,0,0.000000000,1
2013,L,27.5,-167.5,BRD,BIRD (UNIDENTIFIED),8,4,0.065207114,4,0.065207114,0
2014,L,-22.5,157.5,BRD,BIRD (UNIDENTIFIED),6,1,0.018737820,1,0.018737820,0
2014,L,-17.5,-152.5,BRD,BIRD (UNIDENTIFIED),7,1,0.013063016,0,0.000000000,0
2014,L,27.5,-157.5,BRD,BIRD (UNIDENTIFIED),45,1,0.001147500,1,0.001147500,0
2015,L,-42.5,152.5,BRD,BIRD (UNIDENTIFIED),7,9,0.014704705,7,0.011436993,0
2015,L,-7.5,-147.5,BRD,BIRD (UNIDENTIFIED),7,3,0.036387895,3,0.036387895,0
2015,L,2.5,152.5,BRD,BIRD (UNIDENTIFIED),3,3,0.078719496,3,0.078719496,0
2015,L,17.5,-162.5,BRD,BIRD (UNIDENTIFIED),60,1,0.001082525,1,0.001082525,0
2015,L,22.5,147.5,BRD,BIRD (UNIDENTIFIED),5,1,0.018575621,1,0.018575621,0
2015,L,37.5,147.5,BRD,BIRD (UNIDENTIFIED),5,1,0.012256254,1,0.012256254,0
2015,L,37.5,162.5,BRD,BIRD (UNIDENTIFIED),13,1,0.005038951,1,0.005038951,0
2015,L,37.5,167.5,BRD,BIRD (UNIDENTIFIED),8,2,0.014608457,2,0.014608457,0
2016,L,-42.5,152.5,BRD,BIRD (UNIDENTIFIED),6,3,0.005184660,3,0.005184660,0
2016,L,-17.5,-147.5,BRD,BIRD (UNIDENTIFIED),6,2,0.075250207,1,0.037625103,0
2016,L,-12.5,-142.5,BRD,BIRD (UNIDENTIFIED),11,2,0.008718586,2,0.008718586,0
2016,L,17.5,-162.5,BRD,BIRD (UNIDENTIFIED),61,2,0.002324179,1,0.001162089,1
2016,L,17.5,137.5,BRD,BIRD (UNIDENTIFIED),11,1,0.009101666,1,0.009101666,0
2016,L,37.5,147.5,BRD,BIRD (UNIDENTIFIED),9,5,0.071258569,5,0.071258569,0
2016,L,37.5,152.5,BRD,BIRD (UNIDENTIFIED),9,1,0.004524969,1,0.004524969,0
2016,L,37.5,162.5,BRD,BIRD (UNIDENTIFIED),7,1,0.008085643,1,0.008085643,0
2016,L,37.5,167.5,BRD,BIRD (UNIDENTIFIED),6,5,0.027558079,5,0.027558079,0
2017,L,-22.5,167.5,BRD,BIRD (UNIDENTIFIED),9,1,0.013003394,1,0.013003394,0
2017,L,-17.5,-152.5,BRD,BIRD (UNIDENTIFIED),7,2,0.015147384,2,0.015147384,0
2017,L,-12.5,-142.5,BRD,BIRD (UNIDENTIFIED),14,1,0.004038576,1,0.004038576,0
2017,L,32.5,147.5,BRD,BIRD (UNIDENTIFIED),11,7,0.095415945,7,0.095415945,0
2017,L,32.5,152.5,BRD,BIRD (UNIDENTIFIED),9,1,0.010834471,1,0.010834471,0
2017,L,37.5,147.5,BRD,BIRD (UNIDENTIFIED),7,1,0.010820169,1,0.010820169,0
2018,L,-32.5,-152.5,BRD,BIRD (UNIDENTIFIED),3,1,0.008631107,1,0.008631107,0
2018,L,-22.5,157.5,BRD,BIRD (UNIDENTIFIED),7,1,0.016634230,1,0.016634230,0
2018,L,-22.5,167.5,BRD,BIRD (UNIDENTIFIED),11,5,0.029643331,5,0.029643331,0
2019,L,-27.5,177.5,BRD,BIRD (UNIDENTIFIED),11,9,0.028737284,9,0.028737284,0
2020,L,-17.5,-142.5,BRD,BIRD (UNIDENTIFIED),7,1,0.024067389,1,0.024067389,0
2013,L,-42.5,167.5,BRD,BLACK-BROWED MOLLYMAWK,5,2,0.006414080,1,0.003207040,1
2013,L,-37.5,177.5,BRD,BLACK-BROWED MOLLYMAWK,7,1,0.022186723,0,0.000000000,1
2014,L,-42.5,167.5,BRD,BLACK-BROWED MOLLYMAWK,6,1,0.002525839,1,0.002525839,0
2015,L,-42.5,152.5,BRD,BLACK-BROWED MOLLYMAWK,7,9,0.014704705,9,0.014704705,0
2015,L,-42.5,157.5,BRD,BLACK-BROWED MOLLYMAWK,6,1,0.010931351,1,0.010931351,0
2015,L,-37.5,157.5,BRD,BLACK-BROWED MOLLYMAWK,7,1,0.012177598,1,0.012177598,0
2015,L,-37.5,162.5,BRD,BLACK-BROWED MOLLYMAWK,6,1,0.015395274,1,0.015395274,0
2015,L,-32.5,162.5,BRD,BLACK-BROWED MOLLYMAWK,4,1,0.008472781,1,0.008472781,0
2016,L,-42.5,152.5,BRD,BLACK-BROWED MOLLYMAWK,6,14,0.024195081,14,0.024195081,0
2016,L,-42.5,157.5,BRD,BLACK-BROWED MOLLYMAWK,6,2,0.010368604,2,0.010368604,0
2016,L,-42.5,167.5,BRD,BLACK-BROWED MOLLYMAWK,5,1,0.011726079,1,0.011726079,0
2016,L,-37.5,157.5,BRD,BLACK-BROWED MOLLYMAWK,4,2,0.019613227,2,0.019613227,0
2016,L,-37.5,177.5,BRD,BLACK-BROWED MOLLYMAWK,11,1,0.006286382,1,0.006286382,0
2016,L,-32.5,-172.5,BRD,BLACK-BROWED MOLLYMAWK,3,1,0.012159977,1,0.012159977,0
2016,L,-32.5,177.5,BRD,BLACK-BROWED MOLLYMAWK,4,2,0.034002618,2,0.034002618,0
2017,L,-42.5,152.5,BRD,BLACK-BROWED MOLLYMAWK,3,2,0.007173884,2,0.007173884,0
2019,L,-42.5,152.5,BRD,BLACK-BROWED MOLLYMAWK,6,33,0.056879782,33,0.056879782,0
2019,L,-42.5,157.5,BRD,BLACK-BROWED MOLLYMAWK,6,7,0.028109853,7,0.028109853,0
2019,L,-37.5,157.5,BRD,BLACK-BROWED MOLLYMAWK,5,3,0.026533410,3,0.026533410,0
2019,L,-32.5,-172.5,BRD,BLACK-BROWED MOLLYMAWK,4,1,0.016300184,1,0.016300184,0
2019,L,-27.5,-167.5,BRD,BLACK-BROWED MOLLYMAWK,9,1,0.004834631,1,0.004834631,0
2013,L,-27.5,-172.5,BRD,BLACK-FOOTED ALBATROSS,5,1,0.009141353,1,0.009141353,0
2013,L,17.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,15,1,0.004304278,1,0.004304278,0
2013,L,17.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,29,1,0.001434360,1,0.001434360,0
2013,L,22.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,25,3,0.007686454,3,0.007686454,0
2013,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,22,10,0.023908974,8,0.019127179,2
2013,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,38,6,0.006885969,6,0.006885969,0
2013,L,27.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,28,3,0.003131805,3,0.003131805,0
2013,L,32.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,5,3,0.055084279,3,0.055084279,0
2013,L,32.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,13,3,0.022179506,0,0.000000000,3
2013,L,32.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,14,4,0.015577598,3,0.011683198,1
2013,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,18,4,0.017866954,4,0.017866954,0
2014,L,-17.5,-147.5,BRD,BLACK-FOOTED ALBATROSS,12,1,0.004462572,0,0.000000000,0
2014,L,2.5,162.5,BRD,BLACK-FOOTED ALBATROSS,4,1,0.003732639,0,0.000000000,1
2014,L,17.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,37,2,0.003553547,2,0.003553547,0
2014,L,22.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,9,4,0.048106411,4,0.048106411,0
2014,L,27.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,15,3,0.035327783,2,0.023551855,1
2014,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,32,7,0.015217888,7,0.015217888,0
2014,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,45,11,0.012622496,7,0.008032497,4
2014,L,32.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,17,2,0.007127939,1,0.003563970,1
2014,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,19,1,0.003068473,0,0.000000000,1
2015,L,-22.5,172.5,BRD,BLACK-FOOTED ALBATROSS,14,1,0.003260122,1,0.003260122,0
2015,L,-22.5,177.5,BRD,BLACK-FOOTED ALBATROSS,23,1,0.001394535,0,0.000000000,0
2015,L,12.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,35,2,0.003422132,2,0.003422132,0
2015,L,17.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,3,1,0.014952377,1,0.014952377,0
2015,L,22.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,26,2,0.005906692,2,0.005906692,0
2015,L,22.5,147.5,BRD,BLACK-FOOTED ALBATROSS,5,1,0.018575621,1,0.018575621,0
2015,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,21,30,0.077342711,25,0.064452259,5
2015,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,49,16,0.025794428,12,0.019345821,4
2015,L,27.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,37,10,0.030620275,7,0.021434192,3
2015,L,27.5,162.5,BRD,BLACK-FOOTED ALBATROSS,3,1,0.052670389,1,0.052670389,0
2015,L,32.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,6,1,0.043122035,1,0.043122035,0
2015,L,32.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,13,1,0.013938254,0,0.000000000,1
2015,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,20,5,0.030556184,3,0.018333710,2
2015,L,32.5,147.5,BRD,BLACK-FOOTED ALBATROSS,5,3,0.095295575,3,0.095295575,0
2015,L,32.5,152.5,BRD,BLACK-FOOTED ALBATROSS,10,12,0.075187028,12,0.075187028,0
2015,L,32.5,157.5,BRD,BLACK-FOOTED ALBATROSS,11,21,0.102969947,21,0.102969947,0
2015,L,32.5,162.5,BRD,BLACK-FOOTED ALBATROSS,10,6,0.059529125,6,0.059529125,0
2015,L,32.5,167.5,BRD,BLACK-FOOTED ALBATROSS,6,4,0.040705425,4,0.040705425,0
2015,L,37.5,147.5,BRD,BLACK-FOOTED ALBATROSS,5,1,0.012256254,1,0.012256254,0
2015,L,37.5,152.5,BRD,BLACK-FOOTED ALBATROSS,13,2,0.018711875,2,0.018711875,0
2015,L,37.5,157.5,BRD,BLACK-FOOTED ALBATROSS,13,15,0.066623435,15,0.066623435,0
2015,L,37.5,162.5,BRD,BLACK-FOOTED ALBATROSS,13,11,0.055428462,11,0.055428462,0
2015,L,37.5,167.5,BRD,BLACK-FOOTED ALBATROSS,8,5,0.036521142,5,0.036521142,0
2016,L,12.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,32,1,0.001592250,1,0.001592250,0
2016,L,12.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,35,2,0.004051289,2,0.004051289,0
2016,L,17.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,61,3,0.003486268,3,0.003486268,0
2016,L,17.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,40,2,0.005648728,2,0.005648728,0
2016,L,22.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,13,1,0.015759448,1,0.015759448,0
2016,L,22.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,34,2,0.005941347,2,0.005941347,0
2016,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,42,15,0.019717280,14,0.018402795,1
2016,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,69,34,0.037672796,31,0.034348726,3
2016,L,27.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,45,18,0.038357612,17,0.036226634,1
2016,L,27.5,157.5,BRD,BLACK-FOOTED ALBATROSS,3,2,0.099915072,2,0.099915072,0
2016,L,32.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,20,1,0.007399679,1,0.007399679,0
2016,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,21,7,0.026236095,4,0.014992054,3
2016,L,32.5,147.5,BRD,BLACK-FOOTED ALBATROSS,5,1,0.040319329,1,0.040319329,0
2016,L,32.5,152.5,BRD,BLACK-FOOTED ALBATROSS,6,6,0.080158179,6,0.080158179,0
2016,L,32.5,157.5,BRD,BLACK-FOOTED ALBATROSS,7,8,0.088694746,8,0.088694746,0
2016,L,32.5,162.5,BRD,BLACK-FOOTED ALBATROSS,4,7,0.262624747,7,0.262624747,0
2016,L,37.5,147.5,BRD,BLACK-FOOTED ALBATROSS,9,1,0.014251714,1,0.014251714,0
2016,L,37.5,152.5,BRD,BLACK-FOOTED ALBATROSS,9,2,0.009049938,2,0.009049938,0
2016,L,37.5,157.5,BRD,BLACK-FOOTED ALBATROSS,9,2,0.009208654,2,0.009208654,0
2016,L,37.5,162.5,BRD,BLACK-FOOTED ALBATROSS,7,8,0.064685145,8,0.064685145,0
2016,L,37.5,167.5,BRD,BLACK-FOOTED ALBATROSS,6,55,0.303138865,55,0.303138865,0
2016,L,37.5,172.5,BRD,BLACK-FOOTED ALBATROSS,3,3,0.039894678,3,0.039894678,0
2017,L,-12.5,-147.5,BRD,BLACK-FOOTED ALBATROSS,10,1,0.008169868,1,0.008169868,0
2017,L,17.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,4,1,0.030195972,1,0.030195972,0
2017,L,17.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,48,1,0.000994425,1,0.000994425,0
2017,L,17.5,162.5,BRD,BLACK-FOOTED ALBATROSS,9,1,0.005682948,1,0.005682948,0
2017,L,22.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,11,2,0.040848005,1,0.020424002,1
2017,L,22.5,162.5,BRD,BLACK-FOOTED ALBATROSS,7,1,0.007602597,1,0.007602597,0
2017,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,29,20,0.049273584,7,0.017245754,13
2017,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,73,55,0.040887907,34,0.025276161,21
2017,L,27.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,49,12,0.017659187,9,0.013244390,3
2017,L,32.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,12,3,0.016882576,3,0.016882576,0
2017,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,15,3,0.027420048,3,0.027420048,0
2017,L,32.5,147.5,BRD,BLACK-FOOTED ALBATROSS,11,5,0.068154247,5,0.068154247,0
2017,L,32.5,152.5,BRD,BLACK-FOOTED ALBATROSS,9,1,0.010834471,1,0.010834471,0
2017,L,37.5,152.5,BRD,BLACK-FOOTED ALBATROSS,8,3,0.019640835,2,0.013093890,1
2017,L,37.5,157.5,BRD,BLACK-FOOTED ALBATROSS,5,2,0.024679780,2,0.024679780,0
2018,L,-17.5,-177.5,BRD,BLACK-FOOTED ALBATROSS,31,1,0.000723710,1,0.000723710,0
2018,L,-17.5,-147.5,BRD,BLACK-FOOTED ALBATROSS,6,1,0.013489633,1,0.013489633,0
2018,L,-12.5,-147.5,BRD,BLACK-FOOTED ALBATROSS,14,1,0.006621771,1,0.006621771,0
2018,L,-7.5,-142.5,BRD,BLACK-FOOTED ALBATROSS,12,1,0.004017032,1,0.004017032,0
2018,L,12.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,15,2,0.016654315,2,0.016654315,0
2018,L,17.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,10,1,0.008397363,1,0.008397363,0
2018,L,17.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,57,1,0.000977464,1,0.000977464,0
2018,L,22.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,4,1,0.013409319,1,0.013409319,0
2018,L,22.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,10,3,0.034453453,2,0.022968969,1
2018,L,22.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,53,18,0.025655827,18,0.025655827,0
2018,L,22.5,162.5,BRD,BLACK-FOOTED ALBATROSS,5,1,0.012307692,0,0.000000000,1
2018,L,22.5,172.5,BRD,BLACK-FOOTED ALBATROSS,3,1,0.020881186,1,0.020881186,0
2018,L,27.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,8,1,0.006369143,0,0.000000000,1
2018,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,42,28,0.051016039,19,0.034618027,9
2018,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,89,42,0.031863128,34,0.025793961,8
2018,L,27.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,56,23,0.028650904,23,0.028650904,0
2018,L,32.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,19,3,0.011244378,3,0.011244378,0
2018,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,16,2,0.007862562,1,0.003931281,1
2018,L,32.5,147.5,BRD,BLACK-FOOTED ALBATROSS,12,1,0.009106888,1,0.009106888,0
2018,L,32.5,152.5,BRD,BLACK-FOOTED ALBATROSS,9,3,0.035886885,2,0.023924590,1
2018,L,32.5,157.5,BRD,BLACK-FOOTED ALBATROSS,6,3,0.041244484,3,0.041244484,0
2018,L,37.5,147.5,BRD,BLACK-FOOTED ALBATROSS,13,2,0.011223282,2,0.011223282,0
2018,L,37.5,152.5,BRD,BLACK-FOOTED ALBATROSS,17,1,0.003550771,1,0.003550771,0
2018,L,37.5,157.5,BRD,BLACK-FOOTED ALBATROSS,15,17,0.054452797,17,0.054452797,0
2018,L,37.5,162.5,BRD,BLACK-FOOTED ALBATROSS,8,2,0.020626850,2,0.020626850,0
2019,L,-27.5,-172.5,BRD,BLACK-FOOTED ALBATROSS,8,2,0.005175675,2,0.005175675,0
2019,L,-17.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,6,1,0.013871934,1,0.013871934,0
2019,L,-17.5,-147.5,BRD,BLACK-FOOTED ALBATROSS,10,1,0.008031290,1,0.008031290,0
2019,L,-12.5,-142.5,BRD,BLACK-FOOTED ALBATROSS,22,1,0.002544050,1,0.002544050,0
2019,L,12.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,16,2,0.008199544,2,0.008199544,0
2019,L,12.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,25,3,0.009370139,3,0.009370139,0
2019,L,17.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,73,12,0.007983984,12,0.007983984,0
2019,L,17.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,58,1,0.001034852,1,0.001034852,0
2019,L,22.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,56,20,0.031235115,20,0.031235115,0
2019,L,27.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,5,2,0.026583372,2,0.026583372,0
2019,L,27.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,21,7,0.028630091,7,0.028630091,0
2019,L,27.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,54,17,0.022683513,11,0.014677567,6
2019,L,27.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,32,29,0.053503659,28,0.051658706,1
2019,L,27.5,147.5,BRD,BLACK-FOOTED ALBATROSS,8,1,0.009325922,1,0.009325922,0
2019,L,27.5,152.5,BRD,BLACK-FOOTED ALBATROSS,4,7,0.187045746,7,0.187045746,0
2019,L,27.5,157.5,BRD,BLACK-FOOTED ALBATROSS,4,7,0.158978901,7,0.158978901,0
2019,L,32.5,-167.5,BRD,BLACK-FOOTED ALBATROSS,8,3,0.016803710,1,0.005601237,2
2019,L,32.5,-162.5,BRD,BLACK-FOOTED ALBATROSS,8,2,0.023280719,1,0.011640359,1
2019,L,32.5,-157.5,BRD,BLACK-FOOTED ALBATROSS,29,8,0.017590575,3,0.006596466,5
2019,L,32.5,-152.5,BRD,BLACK-FOOTED ALBATROSS,14,4,0.031123076,4,0.031123076,0
2019,L,32.5,147.5,BRD,BLACK-FOOTED ALBATROSS,13,5,0.024398932,5,0.024398932,0
2019,L,32.5,152.5,BRD,BLACK-FOOTED ALBATROSS,10,2,0.024067678,2,0.024067678,0
2019,L,32.5,157.5,BRD,BLACK-FOOTED ALBATROSS,9,7,0.145739210,7,0.145739210,0
2019,L,32.5,162.5,BRD,BLACK-FOOTED ALBATROSS,7,4,0.031042645,4,0.031042645,0
2019,L,37.5,147.5,BRD,BLACK-FOOTED ALBATROSS,9,3,0.065466448,3,0.065466448,0
2019,L,37.5,152.5,BRD,BLACK-FOOTED ALBATROSS,23,25,0.045443391,25,0.045443391,0
2019,L,37.5,157.5,BRD,BLACK-FOOTED ALBATROSS,17,12,0.030007127,12,0.030007127,0
2019,L,37.5,162.5,BRD,BLACK-FOOTED ALBATROSS,7,18,0.132783511,18,0.132783511,0
2019,L,37.5,167.5,BRD,BLACK-FOOTED ALBATROSS,6,3,0.021495669,2,0.014330446,1
2020,L,-17.5,-147.5,BRD,BLACK-FOOTED ALBATROSS,13,1,0.006938373,1,0.006938373,0
