"lat","lon","year","hooks","fleet","res","reslat","reslon","pixels","hooks2"
30,-20,2019,99680,"019PT03","5*5",1,1,1,99680
30,-20,2019,1000,"019PT03","5*5",1,1,1,1000
-35,15,2019,3606,"020ZA00","5*5",1,1,1,3606
-35,15,2019,5600,"020ZA00","5*5",1,1,1,5600
-35,15,2019,2342,"020ZA00","5*5",1,1,1,2342
-35,15,2019,2497,"020ZA00","5*5",1,1,1,2497
-35,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-35,15,2019,1350,"020ZA00","5*5",1,1,1,1350
-35,15,2019,1080,"020ZA00","5*5",1,1,1,1080
-35,15,2019,2315,"020ZA00","5*5",1,1,1,2315
-35,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-35,15,2019,8350,"020ZA00","5*5",1,1,1,8350
-35,15,2019,9150,"020ZA00","5*5",1,1,1,9150
-40,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-40,15,2019,4800,"020ZA00","5*5",1,1,1,4800
-40,15,2019,6875,"020ZA00","5*5",1,1,1,6875
-40,15,2019,1160,"020ZA00","5*5",1,1,1,1160
-35,10,2019,1300,"020ZA00","5*5",1,1,1,1300
-40,15,2019,3438,"020ZA00","5*5",1,1,1,3438
-40,15,2019,2850,"020ZA00","5*5",1,1,1,2850
-40,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-40,15,2019,8950,"020ZA00","5*5",1,1,1,8950
-40,15,2019,13760,"020ZA00","5*5",1,1,1,13760
-35,10,2019,4680,"020ZA00","5*5",1,1,1,4680
-35,10,2019,4710,"020ZA00","5*5",1,1,1,4710
-35,15,2019,1560,"020ZA00","5*5",1,1,1,1560
-35,10,2019,1560,"020ZA00","5*5",1,1,1,1560
-35,10,2019,1560,"020ZA00","5*5",1,1,1,1560
-35,15,2019,1400,"020ZA00","5*5",1,1,1,1400
-35,15,2019,4561,"020ZA00","5*5",1,1,1,4561
-35,15,2019,1500,"020ZA00","5*5",1,1,1,1500
-35,15,2019,1180,"020ZA00","5*5",1,1,1,1180
-40,15,2019,1380,"020ZA00","5*5",1,1,1,1380
-40,15,2019,2820,"020ZA00","5*5",1,1,1,2820
-40,15,2019,1298,"020ZA00","5*5",1,1,1,1298
-40,15,2019,10650,"020ZA00","5*5",1,1,1,10650
-40,15,2019,830,"020ZA00","5*5",1,1,1,830
-40,15,2019,3950,"020ZA00","5*5",1,1,1,3950
-40,15,2019,2600,"020ZA00","5*5",1,1,1,2600
-40,15,2019,25600,"020ZA00","5*5",1,1,1,25600
-35,10,2019,4940,"020ZA00","5*5",1,1,1,4940
-35,10,2019,10710,"020ZA00","5*5",1,1,1,10710
-35,10,2019,13630,"020ZA00","5*5",1,1,1,13630
